State,district_num,cook,daily_kos,fivethirtyeight,vote_spread
Arizona,1,3.0,2.0,2.0,-7.680000000000007
Arizona,2,3.0,2.0,1.0,-9.5
Arizona,6,6.0,7.0,6.0,10.379999999999995
Arizona,8,6.0,7.0,6.0,10.920000000000002
Arizona,9,1.0,1.0,1.0,-22.180000000000007
Arkansas,2,6.0,6.0,6.0,6.439999999999998
California,1,6.0,7.0,6.0,9.780000000000001
California,4,6.0,6.0,6.0,8.260000000000005
California,7,2.0,1.0,1.0,-10.079999999999998
California,10,4.0,4.0,2.0,-4.5
California,16,2.0,1.0,1.0,-15.099999999999994
California,21,6.0,6.0,6.0,-0.7600000000000051
California,22,6.0,6.0,7.0,5.439999999999998
California,24,1.0,1.0,1.0,-17.120000000000005
California,25,4.0,4.0,3.0,-8.739999999999995
California,39,4.0,4.0,4.0,-3.1200000000000045
California,45,4.0,4.0,3.0,-4.099999999999994
California,48,4.0,4.0,4.0,-7.099999999999994
California,49,2.0,2.0,1.0,-12.840000000000003
California,50,5.0,5.0,6.0,3.4399999999999977
Colorado,3,6.0,6.0,6.0,8.379999999999995
Colorado,6,3.0,3.0,2.0,-11.579999999999998
Florida,6,5.0,5.0,5.0,12.620000000000005
Florida,7,2.0,2.0,2.0,-15.379999999999995
Florida,13,1.0,1.0,1.0,-15.280000000000001
Florida,15,4.0,5.0,4.0,6.040000000000006
Florida,16,5.0,6.0,6.0,9.120000000000005
Florida,18,5.0,5.0,6.0,8.599999999999994
Florida,25,5.0,6.0,5.0,20.900000000000006
Florida,26,4.0,4.0,4.0,-1.7399999999999949
Florida,27,3.0,3.0,2.0,-6.159999999999997
Georgia,6,4.0,5.0,4.0,-1.019999999999996
Georgia,7,5.0,5.0,6.0,0.14000000000000057
Illinois,6,3.0,4.0,4.0,-7.159999999999997
Illinois,12,5.0,5.0,5.0,6.3799999999999955
Illinois,13,5.0,5.0,5.0,0.7600000000000051
Illinois,14,4.0,4.0,3.0,-5.0
Indiana,2,6.0,6.0,7.0,9.680000000000007
Indiana,9,7.0,6.0,6.0,12.959999999999994
Iowa,1,3.0,3.0,1.0,-5.219999999999999
Iowa,2,1.0,1.0,1.0,-12.519999999999996
Iowa,3,4.0,4.0,3.0,-2.239999999999995
Iowa,4,5.0,6.0,6.0,3.4200000000000017
Kansas,2,4.0,4.0,3.0,0.9000000000000057
Kansas,3,3.0,3.0,2.0,-9.920000000000002
Kentucky,6,4.0,4.0,4.0,3.260000000000005
Maine,2,4.0,4.0,3.0,0.8199999999999932
Maine,2,4.0,4.0,3.0,-1.2399999999999949
Michigan,1,6.0,6.0,6.0,12.64
Michigan,2,7.0,7.0,6.0,12.560000000000002
Michigan,3,6.0,7.0,7.0,11.519999999999996
Michigan,6,5.0,5.0,6.0,4.739999999999995
Michigan,7,6.0,6.0,4.0,7.599999999999994
Michigan,8,4.0,4.0,3.0,-3.9399999999999977
Michigan,11,3.0,3.0,2.0,-6.8799999999999955
Minnesota,1,4.0,4.0,4.0,0.45999999999999375
Minnesota,2,3.0,4.0,2.0,-5.519999999999996
Minnesota,3,3.0,4.0,2.0,-11.439999999999998
Minnesota,7,2.0,2.0,2.0,-4.260000000000005
Minnesota,8,5.0,5.0,6.0,5.780000000000001
Missouri,2,5.0,6.0,6.0,4.019999999999996
Nebraska,2,5.0,6.0,4.0,2.0
Nevada,3,3.0,3.0,2.0,-9.560000000000002
Nevada,4,3.0,3.0,2.0,-8.560000000000002
New Hampshire,1,2.0,3.0,2.0,-8.680000000000007
New Hampshire,2,1.0,1.0,1.0,-13.680000000000007
New Jersey,2,2.0,1.0,1.0,-7.819999999999993
New Jersey,3,4.0,4.0,4.0,-1.3199999999999932
New Jersey,4,7.0,7.0,6.0,12.519999999999996
New Jersey,5,2.0,2.0,1.0,-13.86
New Jersey,7,4.0,4.0,2.0,-5.099999999999994
New Jersey,11,3.0,3.0,2.0,-14.799999999999997
New Mexico,1,1.0,1.0,1.0,-23.900000000000006
New Mexico,2,4.0,4.0,4.0,-1.8599999999999994
New York,1,6.0,6.0,6.0,4.140000000000001
New York,2,6.0,7.0,5.0,6.219999999999999
New York,3,1.0,1.0,1.0,-17.959999999999994
New York,11,6.0,5.0,6.0,-6.480000000000004
New York,18,1.0,1.0,1.0,-10.939999999999998
New York,19,4.0,4.0,3.0,-5.340000000000003
New York,21,6.0,6.0,6.0,13.879999999999995
New York,22,4.0,4.0,4.0,-1.7800000000000011
New York,23,6.0,6.0,6.0,8.480000000000004
New York,24,5.0,5.0,6.0,5.260000000000005
New York,27,5.0,5.0,6.0,0.37999999999999545
North Carolina,2,5.0,5.0,6.0,5.6200000000000045
North Carolina,6,7.0,7.0,6.0,13.040000000000006
North Carolina,7,7.0,7.0,6.0,12.959999999999994
North Carolina,8,6.0,7.0,6.0,10.680000000000007
North Carolina,9,4.0,4.0,4.0,0.3199999999999932
North Carolina,13,4.0,5.0,5.0,6.180000000000007
Ohio,1,5.0,5.0,6.0,4.5
Ohio,7,7.0,6.0,7.0,17.480000000000004
Ohio,10,6.0,6.0,6.0,14.019999999999996
Ohio,12,4.0,5.0,5.0,4.280000000000001
Ohio,14,6.0,6.0,6.0,10.5
Ohio,15,7.0,7.0,7.0,19.0
Ohio,16,7.0,7.0,6.0,13.459999999999994
Oklahoma,5,6.0,6.0,6.0,-1.4000000000000057
Oregon,5,1.0,1.0,2.0,-13.620000000000005
Pennsylvania,1,4.0,4.0,4.0,2.519999999999996
Pennsylvania,5,2.0,1.0,1.0,-30.379999999999995
Pennsylvania,6,2.0,1.0,1.0,-17.760000000000005
Pennsylvania,7,3.0,3.0,1.0,-10.340000000000003
Pennsylvania,8,2.0,2.0,1.0,-9.280000000000001
Pennsylvania,10,4.0,5.0,5.0,2.6400000000000006
Pennsylvania,11,7.0,7.0,6.0,17.959999999999994
Pennsylvania,14,6.0,7.0,7.0,15.819999999999993
Pennsylvania,16,5.0,5.0,6.0,4.340000000000003
Pennsylvania,17,2.0,2.0,1.0,-12.519999999999996
South Carolina,1,5.0,5.0,6.0,-1.3799999999999955
Texas,2,6.0,6.0,6.0,7.400000000000006
Texas,6,6.0,7.0,6.0,7.780000000000001
Texas,7,4.0,4.0,4.0,-5.060000000000002
Texas,10,6.0,7.0,6.0,4.359999999999999
Texas,21,6.0,6.0,6.0,2.6599999999999966
Texas,22,5.0,7.0,6.0,5.019999999999996
Texas,23,5.0,5.0,6.0,0.45999999999999375
Texas,24,6.0,7.0,7.0,3.1200000000000045
Texas,25,7.0,7.0,6.0,8.900000000000006
Texas,31,6.0,6.0,6.0,2.9599999999999937
Texas,32,4.0,4.0,5.0,-6.640000000000001
Utah,4,4.0,4.0,3.0,-0.2600000000000051
Virginia,2,4.0,4.0,5.0,-2.239999999999995
Virginia,5,5.0,5.0,4.0,6.540000000000006
Virginia,7,4.0,4.0,4.0,-1.9599999999999937
Virginia,10,3.0,3.0,2.0,-12.400000000000006
Washington,3,5.0,5.0,5.0,5.340000000000003
Washington,5,5.0,5.0,6.0,9.519999999999996
Washington,8,3.0,4.0,3.0,-4.840000000000003
West Virginia,2,6.0,7.0,6.0,11.340000000000003
West Virginia,3,5.0,5.0,6.0,12.739999999999995
Wisconsin,1,5.0,5.0,6.0,12.700000000000003
Wisconsin,3,1.0,1.0,1.0,-19.340000000000003
Wisconsin,6,6.0,6.0,7.0,11.019999999999996
